"","Date","Time","BEN","NO","NO2","O3","PM2.5","PM10","SO"
"1","2016-10-01"," 08:00",0,27,21.6666666666667,12.1111111111111,16,0,0
"2","2016-10-02"," 08:00",0,22.3333333333333,16.3333333333333,43.3333333333333,7.33333333333333,0,0
"3","2016-10-03"," 08:00",0,19.3333333333333,16.2222222222222,14.3333333333333,8.33333333333333,0,0
"4","2016-10-04"," 08:00",0,33.8888888888889,28.7777777777778,35.5555555555556,11.3786008230453,0,0
"5","2016-10-05"," 08:00",0,39.4444444444444,32,22.4444444444444,13.6008230452675,0,0
"6","2016-10-06"," 08:00",0,64.5555555555556,36.2222222222222,13.2222222222222,9.60082304526749,0,0
"7","2016-10-07"," 08:00",0,77.6666666666667,30.3333333333333,2.55555555555556,10.4897119341564,0,0
"8","2016-10-08"," 08:00",0,41.4259259259259,24.6277777777778,24.5555555555556,11.9341563786008,0,0
"9","2016-10-09"," 08:00",0,29.9814814814815,17.0722222222222,25.8888888888889,12.8230452674897,0,0
"10","2016-10-10"," 08:00",0,99.7592592592593,37.0722222222222,8.11111111111111,14.156378600823,0,0
"11","2016-10-11"," 08:00",0,76.8888888888889,34.7777777777778,3.33333333333333,16.4897119341564,0,0
"12","2016-10-12"," 08:00",0,71.3333333333333,25.3333333333333,2.88888888888889,11.2674897119342,0,0
"13","2016-10-13"," 08:00",0,60.2222222222222,32,7.77777777777778,11.8230452674897,0,0
"14","2016-10-14"," 08:00",0,14.5555555555556,19.8888888888889,18.5555555555556,17.156378600823,0,0
"15","2016-10-15"," 08:00",0,45.7777777777778,27.5555555555556,25.4444444444444,18.6008230452675,0,0
"16","2016-10-16"," 08:00",0,52.1111111111111,19.7777777777778,3.44444444444444,15.2674897119342,0,0
"17","2016-10-17"," 08:00",0,70.8888888888889,31.7777777777778,4.11111111111111,19.8230452674897,0,0
"18","2016-10-18"," 08:00",0,89.8888888888889,40.4444444444444,3.11111111111111,19.7119341563786,0,0
"19","2016-10-19"," 08:00",0,80.5555555555556,48.4444444444444,10.2222222222222,11.7119341563786,0,0
"20","2016-10-20"," 08:00",0,74.7777777777778,49.5555555555556,15.7777777777778,13.9341563786008,0,0
"21","2016-10-21"," 08:00",0,110.444444444444,51.6666666666667,4.22222222222222,13.4897119341564,0,0
